ID;Pitanje;Opcija A;Opcija B;Opcija C;Opcija D;Točan (0-3);URL slike;Objašnjenje;Semestar
1;Koja je osnovna SI jedinica za duljinu?;Centimetar (cm);Metar (m);Kilometar (km);Milimetar (mm);1;;Metar je osnovna mjerna jedinica za duljinu u SI sustavu.;1
2;Koliko jedan kilometar ima metara?;100 m;10 m;1000 m;10000 m;2;;Prefiks kilo- znači tisuću.;1
3;Što mjerimo menzurom?;Masu;Duljinu;Temperaturu;Volumen tekućine;3;;Menzura je mjerna posuda za određivanje obujma (volumena).;1
4;Koja je oznaka za fizikalnu veličinu vrijeme?;t;v;T;m;0;;Dolazi od engleske riječi 'time'.;1
5;Koliko minuta ima pola sata?;15 min;30 min;60 min;45 min;1;;1 sat = 60 min, pola sata = 30 min.;1
6;Formula za gustoću tvari je:;ro = m / V;ro = V / m;ro = m * V;ro = F * s;0;;Gustoća je omjer mase i volumena (ro = m kroz ve).;1
7;Koja je mjerna jedinica za masu u SI sustavu?;Gram (g);Dekagram (dag);Kilogram (kg);Tona (t);2;;Kilogram (kg) je osnovna jedinica.;1
8;Instrument za mjerenje mase tijela naziva se:;Termometar;Vaga;Dinamometar;Sat;1;;Masa se mjeri vaganjem na vagi.;1
9;Što je tromost ili inercija?;Svojstvo tijela da se samo pokrene;Svojstvo tijela da se opire promjeni stanja gibanja;Sila kojom Zemlja privlači tijela;Brzina tijela;1;;Što je tijelo veće mase, to je tromije.;1
10;Koja je mjerna jedinica za silu?;Pascal (Pa);Newton (N);Watt (W);Joule (J);1;;Nazvana je po Isaacu Newtonu.;1
11;Instrument za mjerenje sile naziva se:;Barometar;Vaga;Dinamometar;Manometar;2;;Dinamometar radi na principu istezanja opruge.;1
12;Kako se zove sila kojom Zemlja privlači sva tijela prema svom središtu?;Magnetska sila;Sila teža (težina);Elastična sila;Trenje;1;;Sila teža djeluje vertikalno prema dolje.;1
13;Formula za težinu tijela (G) je:;G = m * g;G = m / g;G = F * s;G = p * A;0;;Težina je umnožak mase i ubrzanja sile teže (g ≈ 10 N/kg).;1
14;Kolika je otprilike težina tijela mase 1 kg na Zemlji?;1 N;10 N;100 N;0.1 N;1;;G = 1 kg * 10 N/kg = 10 N.;1
15;Što je trenje?;Sila koja pomaže gibanju;Sila koja se opire gibanju tijela u dodiru s drugim tijelom;Sila koja privlači tijela;Sila kojom opruga vraća svoj oblik;1;;Trenje nastaje zbog hrapavosti ploha.;1
16;Kako nazivamo silu kojom rastegnuta ili stisnuta opruga nastoji vratiti svoj prvobitni oblik?;Magnetska sila;Elastična sila;Gravitacijska sila;Električna sila;1;;Hookeov zakon opisuje elastičnu silu.;1
17;Što je rezultantna sila?;Bilo koja sila koja djeluje na tijelo;Sila koja ima isti učinak kao sve ostale sile koje djeluju na tijelo zajedno;Sila koja je uvijek nula;Sila koja nastaje u svemiru;1;;Dobiva se zbrajanjem ili oduzimanjem sila.;1
18;Ako na tijelo djeluju dvije sile od 5 N i 5 N u istom smjeru, rezultanta je:;0 N;10 N;5 N;25 N;1;;Sile u istom smjeru se zbrajaju (5 + 5 = 10).;1
19;Ako na tijelo djeluju dvije sile od 10 N i 4 N u suprotnim smjerovima, rezultanta je:;14 N;6 N;40 N;0 N;1;;Sile u suprotnim smjerovima se oduzimaju (10 - 4 = 6).;1
20;Što je tlak?;Umnožak sile i površine;Omjer pritisne sile i površine na koju ta sila djeluje;Duljina puta u vremenu;Masa tijela;1;;Formula je p = F / A.;1
21;Koja je mjerna jedinica za tlak?;Newton (N);Joker (J);Pascal (Pa);Watt (W);2;;1 Pa = 1 N / m2.;1
22;Kako se mijenja tlak ako istom silom djelujemo na manju površinu?;Tlak se smanjuje;Tlak se povećava;Tlak ostaje isti;Tlak nestaje;1;;Manja površina (npr. oštrica noža) stvara veći tlak.;1
23;Tlak u tekućinama koji nastaje zbog težine same tekućine naziva se:;Atmosferski tlak;Hidrostatski tlak;Mehanički tlak;Zračni tlak;1;;Hidrostatski tlak raste s dubinom.;1
24;Hidrostatski tlak na nekoj dubini ovisi o:;Boji tekućine;Dubini, gustoći tekućine i ubrzanju sile teže;Širini posude;Masu posude;1;;p = ro * g * h.;1
25;Kako nazivamo tlak zračnog omotača (atmosfere) na površinu Zemlje?;Hidrostatski tlak;Atmosferski tlak;Potisak;Vodeni tlak;1;;Mjeru se barometrom.;1
26;Što je atmosferski tlak?;Tlak koji nastaje u gumama;Tlak stupca zraka iznad nas;Tlak unutar oceana;Tlak koji stvara usisavač;1;;Iznosi oko 101 325 Pa na razini mora.;1
27;Kako se zove sila koja u tekućinama djeluje vertikalno prema gore i nastoji tijelo izgurati na površinu?;Težina;Potisak (uzgon);Trenje;Magnetska sila;1;;Arhimedov zakon opisuje potisak.;1
28;Arhimedov zakon kaže da je potisak na tijelo uronjeno u tekućinu jednak:;Težini samog tijela;Težini tekućine koju je tijelo istisnulo;Volumenu tijela;Dubini uranjanja;1;;Fp = ro * g * Vistisnutog.;1
29;Tijelo će plivati na površini tekućine ako je njegova gustoća:;Veća od gustoće tekućine;Manja od gustoće tekućine;Jednaka gustoći tekućine;Nula;1;;Npr. drvo pliva u vodi jer mu je gustoća manja.;1
30;Što je putanja ili staza gibanja?;Vrijeme gibanja;Brzina tijela;Linija po kojoj se tijelo giba;Masa tijela;2;;Putanja može biti ravna ili krivudava.;1
31;Što je prevaljeni put (oznaka s)?;Duljina putanje koju tijelo prijeđe u nekom vremenu;Brzina tijela;Instrument za mjerenje;Težina tijela;0;;Mjerna jedinica je metar (m).;1
