ID;Pitanje;Opcija A;Opcija B;Opcija C;Opcija D;Točan (0-3);URL slike;Objašnjenje;Semestar
1;Što je materija ili tvar?;Samo plinovi;Sve što nas okružuje i ima masu i volumen;Samo ono što možemo vidjeti;Samo tekućine;1;;Sve što zauzima prostor i ima masu je tvar.;1
2;Koje su tri osnovna agregacijska stanja tvari?;Čvrsto, tekuće, plinovito;Hladno, toplo, vruće;Malo, srednje, veliko;Tvrdo, meko, elastično;0;;Standardna stanja su krutina (s), tekućina (l) i plin (g).;1
3;Kemijska formula vode je:;CO2;H2O2;H2O;HO2;2;;Molekula vode sastoji se od dva atoma vodika i jednog atoma kisika.;1
4;Kako nazivamo prijelaz tvari iz čvrstog u tekuće stanje?;Kondenzacija;Taloženje;Isparavanje;Taljenje;3;;Taljenje je proces pretvorbe krutine u tekućinu grijanjem.;1
5;Što je kondenzacija?;Prijelaz iz plinovitog u tekuće stanje;Prijelaz iz tekućeg u čvrsto stanje;Prijelaz iz čvrstog u plinovito;Sagorijevanje;0;;Kondenzacija je npr. rošenje stakla.;1
6;Koja je oznaka za kemijski element kisik?;Ki;O;K;Ox;1;;Simbol kisika je O (Oxygenium).;1
7;Smjesa tvari u kojoj se sastojci ne mogu vidjeti golim okom je:;Homogena smjesa;Heterogena smjesa;Mehanička smjesa;Talog;0;;Homogena smjesa (npr. zrak ili otopina soli u vodi) izgleda jednolično.;1
8;Voda i ulje tvore kakvu smjesu?;Kemijski spoj;Homogenu;Heterogenu;Otopinu;2;;Sastojci se jasno vide kao zasebni slojevi.;1
9;Postupak odvajanja čvrste tvari od tekućine pomoću filtarskog papira zove se:;Kristalizacija;Filtracija;Destilacija;Sublimacija;1;;Filtracija se temelji na različitoj veličini čestica.;1
10;Simbol 'Fe' označava koji metal?;Željezo;Fluor;Ferari;Fosfor;0;;Simbol dolazi od latinskog Ferrum.;1
11;Što je atom?;Velika molekula;Vrsta energije;Najmanja kemijski nedjeljiva čestica tvari;Tekući metal;2;;Atom je osnovna građevna jedinica tvari.;1
12;Od čega se sastoji jezgra atoma?;Samo od elektrona;Od protona i neutrona;Samo od protona;Od molekula;1;;Neutroni su neutralni, a protoni pozitivni.;1
13;Koji naboj imaju elektroni?;Negativan (-);Pozitivan (+);Neutralan (0);Promjenjiv;0;;Elektroni se gibaju u elektronskom omotaču oko jezgre.;1
14;Ako atom izgubi ili primi elektron, on postaje:;Molekula;Izotop;Neutron;Ion;3;;Ioni su električki nabijene čestice.;1
15;Kako nazivamo pozitivno nabijeni ion?;Kation;Anion;Proton;Neutron;0;;Kationi nastaju gubitkom elektrona.;1
16;Kemijska formula za kuhinjsku sol (natrijev klorid) je:;NaOH;NaCl;HCl;KCl;1;;Spoj natrija i klora.;1
17;Što je maseni udio sastojka u smjesi?;Omjer mase sastojka i mase cijele smjese;Težina cijele smjese;Boja smjese;Volumen smjese;0;;Iskazuje se kao broj (0-1) ili u postocima.;1
18;Koja je oznaka za kemijski element ugljik?;C;Ca;U;Cu;0;;Simbol dolazi od latinskog Carbonium.;1
19;Destilacija je postupak razdvajanja smjesa koji se temelji na:;Razlici u vrelištima sastojaka;Razlikovni gustoće;Boći tvari;Magnetičnosti;0;;Koristi se za odvajanje npr. alkohola od vode.;1
20;Oznaka 'Cu' pripada kojem elementu?;Bakru;Cinku;Kositru;Zlatu;0;;Simbol dolazi od latinskog Cuprum.;1
21;Što su elementarne tvari?;Tvari koje se ne mogu rastaviti na jednostavnije kemijskim putem;Sve tekuće tvari;Samo tvari u zraku;Vrsta gnojiva;0;;Sastoje se od atoma iste vrste.;1
22;Koliko atoma vodika ima u jednoj molekuli metana (CH4)?;2;4;3;1;1;;Indeks pored H je 4.;1
23;Proces pri kojem tvar izravno prelazi iz čvrstog u plinovito stanje je:;Kondenzacija;Isparavanje;Sublimacija;Taljenje;2;;Primjer je suhi led (čvrsti CO2).;1
24;Koji je najrasprostranjeniji element u svemiru?;Kisik;Vodik;Ugljik;Dušik;1;;Vodik (H) čini većinu zvijezda.;1
25;Kako nazivamo negativno nabijeni ion?;Kation;Elektron;Anion;Proton;2;;Anioni nastaju primanjem elektrona.;1
26;Fizička promjena tvari je promjena pri kojoj:;Nastaje nova tvar;Se mijenja samo vanjski izgled ili stanje, ali sastav ostaje isti;Se mijenja kemijski sastav;Se oslobađa energija u obliku svjetlosti;1;;Primjer je gužvanje papira ili otapanje leda.;1
27;Kemijska promjena (kemijska reakcija) je promjena pri kojoj:;Tvar samo mijenja oblik;Se tvar samo melje;Nastaje nova tvar s drugačijim svojstvima;Se tvar samo zagrijava bez promjene sastava;2;;Primjer je hrđanje željeza ili gorenje drveta.;1
28;Molekula kisika koju udišemo ima formulu:;O;O3;O4;O2;3;;Kisik u prirodi najčešće dolazi kao dvoatomna molekula.;1
29;Što je otopina?;Homogena smjesa otapala i otopljene tvari;Bilo koja tekućina;Heterogena smjesa;Kemijski spoj;0;;Npr. šećer otopljen u vodi.;1
30;Koji je simbol za element dušik?;Ni;Du;N;D;2;;Simbol dolazi od latinskog Nitrogenium.;1
31;Oznaka 'Au' pripada kojem plemenitom metalu?;Zlatu;Srebru;Platini;Živi;0;;Simbol dolazi od latinskog Aurum.;1
32;Što je kemijski simbol?;Broj u periodnom sustavu;Međunarodna oznaka za kemijski element;Skraćenica za kemijski spoj;Naljepnica na epruveti;1;;Prvo slovo je uvijek veliko, drugo (ako postoji) malo.;1
