ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
1	1	Koji sustav prima i obrađuje podražaje iz okoline?	Probavni	Dišni	Živčani sustav	Krvožilni	2	Živčani sustav koordinira sve funkcije tijela.
2	1	Osnovna jedinica živčanog sustava je:	Eritrocit	Neuron	Trombocit	Leukocit	1	Neuroni prenose impulse.
3	1	Dijelovi neurona su:	Glava i rep	Tijelo stanice, dendriti i akson	Jezgra i citoplazma	Samo membrana	1	Dendriti primaju, akson odvodi impulse.
4	1	Središnji živčani sustav čine:	Samo mozak	Mozak i leđna moždina	Samo živci	Samo gangliji	1	Zaštićeni lubanjom i kralježnicom.
5	1	Periferni živčani sustav čine:	Mozak i leđna moždina	Živci koji povezuju SŽS s ostatkom tijela	Samo mozak	Samo srce	1	Senzorni i motorički živci.
6	1	Veliki mozak je podijeljen na:	3 dijela	4 dijela	Dvije polutke (hemisfere)	Pola	2	Lijeva i desna hemisfera.
7	1	Mali mozak kontrolira:	Probavu	Ravnotežu i koordinaciju pokreta	Disanje	Vid	1	Smješten je straga ispod velikog mozga.
8	1	Produljena moždina regulira:	Mišljenje	Emocije	Vitalne funkcije (disanje, rad srca)	Pamćenje	2	Automatske funkcije bez kojih ne možemo živjeti.
9	1	Refleks je:	Svjesna reakcija	Brza, nesvjesna reakcija na podražaj	Samo u mozgu	Voljni pokret	1	Refleksni luk ide preko leđne moždine.
10	1	Sinapsa je:	Vrsta stanice	Spoj između dva neurona	Kost	Organ	1	Kemijski prijenosnici (neurotransmitori) prelaze sinapsu.
11	1	Osjetilo vida nalazi se u:	Uhu	Nosu	Oku	Koži	2	Mrežnica oka sadrži receptore za svjetlost.
12	1	Šarenica (iris) oka kontrolira:	Boju kože	Količinu svjetla koja ulazi (veličinu zjenice)	Sluh	Miris	1	Zjenica se širi ili sužava.
13	1	Mrežnica (retina) sadrži:	Samo kosti	Receptore (štapiće i čunjiće)	Samo tekućinu	Samo živce	1	Štapići za vid u mraku, čunjići za boje.
14	1	Zvuk percipiramo pomoću:	Očiju	Kože	Uha	Jezika	2	Zvučni valovi vibriraju bubnjić.
15	1	Pužnica (kohlea) je dio:	Oka	Nosa	Unutarnjeg uha	Mozga	2	Pretvara vibracije u živčane impulse.
16	1	Osjetilo ravnoteže nalazi se u:	Oku	Koži	Unutarnjem uhu (polukružni kanali)	Jeziku	2	Polukružni kanali sadrže tekućinu.
17	1	Okus percipiramo pomoću:	Nosa	Oka	Okusnih pupoljaka na jeziku	Uha	2	Razlikujemo slatko, slano, kiselo, gorko, umami.
18	1	Miris percipiramo pomoću:	Uha	Receptora u nosnoj šupljini	Kože	Jezika	1	Njušne stanice u nosnoj sluznici.
19	1	Endokrini sustav regulira funkcije pomoću:	Živčanih impulsa	Hormona	Krvi	Kostiju	1	Hormoni se luče u krv i djeluju na ciljne organe.
20	1	Hipofiza se naziva i:	Štitnjača	Nadbubrežna žlijezda	Glavna žlijezda (upravlja ostalima)	Gušterača	2	Smještena u mozgu, regulira ostale žlijezde.
21	1	Štitnjača luči:	Inzulin	Adrenalin	Tiroksin	Estrogen	2	Regulira metabolizam.
22	1	Inzulin luči:	Štitnjača	Hipofiza	Gušterača (pankreas)	Nadbubrežna žlijezda	2	Snižava razinu šećera u krvi.
23	1	Dijabetes nastaje zbog:	Previše inzulina	Nedovoljnog lučenja inzulina ili otpornosti na inzulin	Previše hormona rasta	Nedostatka tiroksina	1	Šećer u krvi ostaje previsok.
24	1	Adrenalin se luči u:	Štitnjači	Hipofizi	Nadbubrežnoj žlijezdi	Jajnicima	2	Hormon 'borbe ili bijega'.
25	1	Pubertet je posljedica pojačanog lučenja:	Tiroksina	Inzulina	Spolnih hormona	Adrenalina	2	Testosteron kod dječaka, estrogen kod djevojaka.
26	2	Koliko kromosoma ima čovjek?	23	44	46	48	2	23 para = 46 kromosoma.
27	2	Spolni kromosomi kod muškarca su:	XX	XY	YY	XO	1	Žene imaju XX, muškarci XY.
28	2	DNA se nalazi u:	Citoplazmi	Staničnoj membrani	Jezgri stanice	Ribosomima	2	U obliku kromosoma tijekom diobe.
29	2	Gen je:	Cijeli kromosom	Odsječak DNA koji nosi uputu za jedno svojstvo	Vrsta proteina	Vrsta stanice	1	Geni su nasljedne jedinice.
30	2	Mitoza je:	Stanična dioba koja daje 4 stanice	Stanična dioba koja daje 2 genetski jednake stanice	Oplodnja	Samo u spolnim stanicama	1	Za rast i obnavljanje tkiva.
31	2	Mejoza je:	Dioba koja daje 2 stanice	Dioba koja daje 4 spolne stanice s upola manje kromosoma	Isto što i mitoza	Samo u biljaka	1	Stvaranje gameta (jajne stanice ili spermija).
32	2	Dominantno svojstvo se izražava:	Samo u homozigotnom stanju	Uvijek kada je prisutan barem jedan dominantni alel	Samo rijetko	Nikada	1	Označavamo velikim slovom (npr. A).
33	2	Recesivno svojstvo se izražava:	Uvijek	Nikada	Samo u homozigotnom stanju (aa)	Onda kada je prisutan bilo koji alel	2	Maskirano dominantnim alelom u heterozigota.
34	2	Genotip je:	Vanjski izgled organizma	Genetska (alelna) osnova organizma	Boja očiju	Vrsta stanice	1	Npr. Aa, AA ili aa.
35	2	Fenotip je:	Genetska osnova	Vidljivo izraženo svojstvo	Broj kromosoma	Vrsta tkiva	1	Ono što vidimo (boja, oblik itd.).
36	2	Mendel je istraživao nasljeđivanje na:	Mušicama	Ljudima	Grašku	Ribama	2	Gregor Mendel — otac genetike.
37	2	Mutacija je:	Normalan rast	Trajna promjena u DNA	Funkcija enzima	Vrsta stanice	1	Može biti korisna, štetna ili neutralna.
38	2	Krvne grupe kod čovjeka su:	A, B, AB, O	Samo A i B	1, 2, 3, 4	X i Y	0	ABO sustav + Rh faktor.
39	2	Univerzalni davatelj krvi je:	AB+	B-	A+	O-	3	Nema ni A ni B antigena ni Rh faktora.
40	2	Univerzalni primatelj krvi je:	O-	A+	AB+	B-	2	Ima oba antigena i Rh te ne stvara protutijela.
41	1	Koža je:	Samo pokrov	Najveći organ čovjeka	Kost	Žlijezda	1	Površina oko 1,5-2 m^2.
42	1	Epidermis je:	Unutarnji sloj kože	Vanjski sloj kože	Potkožno masno tkivo	Živac	1	Sadrži mrtve stanice pune keratina na površini.
43	1	Dermis sadrži:	Samo mrtve stanice	Krvne žile, živčane završetke, žlijezde	Samo masno tkivo	Samo kosti	1	Živi sloj kože.
44	1	Melanin je:	Vitamin	Pigment koji štiti od UV zraka	Hormon	Enzim	1	Određuje boju kože, kose i očiju.
45	2	Muški spolni sustav proizvodi:	Jajne stanice	Spermije	Hormone rasta	Eritrocite	1	U sjemenicima (testisima).
46	2	Ženski spolni sustav proizvodi:	Spermije	Jajne stanice (jajašca)	Samo hormone	Samo mlijeko	1	U jajnicima, jednom mjesečno.
47	2	Oplodnja se obično događa u:	Maternici	Jajovodu	Jajniku	Rodnici	1	Spermij i jajna stanica se spajaju u jajovodu.
48	2	Trudnoća kod čovjeka traje otprilike:	6 mjeseci	12 mjeseci	9 mjeseci (oko 40 tjedana)	3 mjeseca	2	Od oplodnje do poroda.
49	2	Posteljica (placenta) služi za:	Zaštitu od hladnoće	Razmjenu tvari između majke i ploda	Produkciju spermija	Samo zaštitu	1	Kisik, hrana i otpadne tvari prolaze kroz placentu.
50	2	Menstruacija je:	Oplodnja	Mjesečno odbacivanje sluznice maternice	Trudnoća	Ovulacija	1	Ako nema oplodnje, sluznica se odbacuje.
51	2	Ekosustav čine:	Samo biljke	Samo životinje	Živa bića i neživa okolina	Samo tlo	2	Biotop (stanište) + biocenoza (zajednica živih bića).
52	2	Producenti u ekosustavu su:	Životinje	Gljive	Biljke (proizvode hranu fotosintezom)	Bakterije razlagači	2	Autotrofi — sami proizvode organsku tvar.
53	2	Konzumenti su:	Biljke	Organizmi koji se hrane drugima	Bakterije	Gljive	1	Heterotrofi — biljožderi, mesožderi, svežderi.
54	2	Razlagači (dekompozitori) su:	Biljke	Biljožderi	Bakterije i gljive koje razlažu mrtvu tvar	Mesožderi	2	Vraćaju hranjive tvari u tlo.
55	2	Hranidbeni lanac počinje s:	Mesožderi	Razlagačima	Producentima (biljkama)	Konzumentima	2	Biljka → biljožderi → mesožderi.
56	2	Fotosinteza koristi:	CO2 i H2O uz sunčevu svjetlost	Samo O2	Samo glukozu	Samo CO2	0	6CO2 + 6H2O → C6H12O6 + 6O2.
57	2	Bioraznolikost znači:	Samo puno biljaka	Raznolikost svih živih bića u nekom ekosustavu	Samo puno životinja	Samo puno bakterija	1	Uključuje genetsku, vrsnu i ekosustavsku raznolikost.
58	2	Ugrožena vrsta je:	Vrsta koja ima previše jedinki	Vrsta kojoj prijeti izumiranje	Invazivna vrsta	Domaća vrsta	1	Npr. panda, sibirski tigar itd.
59	2	Efekt staklenika pojačava se zbog:	Previše kisika	Povećane emisije CO2 i metana	Previše vode	Previše dušika	1	Staklenički plinovi zadržavaju toplinu.
60	2	Ozonski sloj štiti od:	Infracrvenih zraka	UV zračenja	Vidljive svjetlosti	Zvuka	1	O3 apsorbira štetne UV-B i UV-C zrake.
61	1	Koštano-mišićni sustav služi za:	Probavu	Potporu, zaštitu i kretanje	Disanje	Izlučivanje	1	Kosti, hrskavice, mišići i zglobovi.
62	1	Koliko kostiju ima odrasli čovjek?	106	150	206	306	2	Djeca imaju više jer se neke naknadno spajaju.
63	1	Što je zglob?	Vrsta mišića	Mjesto spajanja dviju ili više kostiju	Vrsta živca	Vrsta žile	1	Omogućuje pokretljivost.
64	1	Skeletni mišići su:	Nevoljni	Voljni (kontroliramo ih svjesno)	Glatki	Srčani	1	Prečasto-prugasti mišići.
65	1	Srčani mišić je:	Voljni	Nevoljni (automatski radi)	Skeletni	Glatki	1	Srce kuca neovisno o našoj volji.
66	1	Eritrociti (crvene krvne stanice) prenose:	Hranjive tvari	Antitijela	Kisik (pomoću hemoglobina)	Trombocite	2	Hemoglobin veže O2 i daje im crvenu boju.
67	1	Leukociti (bijele krvne stanice) služe za:	Prijenos kisika	Obranu organizma od infekcija	Zgrušavanje krvi	Prijenos hormona	1	Dio imunološkog sustava.
68	1	Trombociti služe za:	Prijenos kisika	Obranu od bakterija	Zgrušavanje krvi (hemostazu)	Proizvodnju hormona	2	Zatvaraju oštećene krvne žile.
69	1	Srce ima koliko klijetki i pretklijetki?	2 pretklijetke i 2 klijetke (ukupno 4 šupljine)	1 šupljinu	3 šupljine	6 šupljina	0	Desna i lijeva strana, svaka s pretklijetkom i klijetkom.
70	1	Mali krvotok (plućni) vodi krv iz:	Srca u mozak	Desnog srca u pluća i natrag u lijevo srce	Srca u noge	Lijevog srca u pluća	1	Krv se obogaćuje kisikom u plućima.
71	1	Veliki krvotok (tjelesni) vodi krv iz:	Pluća u pluća	Lijevog srca u tijelo i natrag u desno srce	Desnog srca u tijelo	Mozga u srce	1	Opskrbljuje organe kisikom i hranjivim tvarima.
72	1	Arterije nose krv:	Prema srcu	Od srca prema organima	Samo u mozak	Samo u pluća	1	Debele stijenke, elastične.
73	1	Vene nose krv:	Od srca	Prema srcu	Samo iz mozga	Samo iz pluća	1	Imaju zalistke koji sprječavaju povratak krvi.
74	1	Kapilare su:	Najdeblje žile	Najtanje žile, mjesto izmjene tvari	Vrsta vena	Vrsta arterija	1	Stjenka im je debljine jedne stanice.
75	1	Diafragma pomaže pri:	Probavi	Udisanju i izdisanju	Mokraćenju	Kretanju	1	Glavni dišni mišić.
76	1	U alveolama pluća dolazi do:	Probave hrane	Izmjene plinova (O2 i CO2)	Filtracije krvi	Proizvodnje hormona	1	Kisik ulazi u krv, CO2 izlazi.
77	1	Probavni sustav počinje:	U želucu	U ustima	U crijevu	U jednjaku	1	Žvakanje i djelovanje sline.
78	1	Želudac luči:	Žuč	Solnu kiselinu i enzime za probavu	Inzulin	Adrenalin	1	pH 1-2, razgrađuje proteine.
