ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
101	1	Autonomni živčani sustav kontrolira:	Voljne pokrete	Nevoljne funkcije (srce, probava, žlijezde)	Samo mišljenje	Samo reflekse	1	Simpatikus i parasimpatikus.
102	1	Simpatikus:	Usporava srce	Potiče odmor	Ubrzava srce, priprema tijelo za akciju	Smanjuje krvni tlak	2	Borba ili bijeg.
103	1	Parasimpatikus:	Ubrzava srce	Usporava srce, potiče probavu i odmor	Aktivira mišiće	Širi zjenice	1	Odmor i probava.
104	1	Neurotransmitor dopamin je povezan s:	Boli	Osjećajem ugode i motivacijom	Samo spavanjem	Samo probavom	1	Važan za sustav nagrade u mozgu.
105	1	Serotonin regulira:	Samo vid	Raspoloženje, san i apetit	Samo krvni tlak	Samo temperaturu	1	Nedostatak može uzrokovati depresiju.
106	1	Moždana kora (korteks) je odgovorna za:	Samo reflekse	Višu mentalnu aktivnost (mišljenje, govor, pamćenje)	Samo probavu	Samo disanje	1	Naborana površina velikog mozga.
107	1	Hipotalamus regulira:	Samo mišljenje	Tjelesnu temperaturu, glad, žeđ, hormone	Samo vid	Samo sluh	1	Povezuje živčani i endokrini sustav.
108	1	Leća oka fokusira sliku na:	Šarenicu	Bjeloočnicu	Mrežnicu	Rožnicu	2	Mijenja oblik za fokus (akomodacija).
109	1	Kratkovidnost znači:	Jasno vidi daleke predmete	Jasno vidi bliske, ali ne i daleke predmete	Ne može vidjeti boje	Ima savršen vid	1	Slika pada ispred mrežnice.
110	1	Dalekovidnost znači:	Jasno vidi bliske predmete	Ne može vidjeti boje	Jasno vidi daleke, ali ne i bliske predmete	Ima savršen vid	2	Slika pada iza mrežnice.
111	1	Meninges (moždane ovojnice) štite:	Srce	Mozak i leđnu moždinu	Pluća	Jetru	1	Tri sloja: tvrda, paučinasta i meka ovojnica.
112	1	Cerebrospinalna tekućina (likvor) služi za:	Prijenos kisika	Zaštitu mozga (amortizer)	Probavu	Kretanje	1	Okružuje mozak i leđnu moždinu.
113	1	Krvni tlak se mjeri:	Termometrom	Tlakomjerom (sfigmomanometrom)	Vagom	Metrom	1	Normalni: oko 120/80 mmHg.
114	1	Hemoglobin je:	Hormon	Protein u eritrocitima koji veže kisik	Vitamin	Enzim	1	Sadrži željezo.
115	1	Limfni sustav:	Nije dio imunološkog sustava	Skuplja višak tekućine i pomaže u obrani	Proizvodi eritrocite	Samo prenosi hormone	1	Limfni čvorovi filtriraju limfu.
116	1	Timus je žlijezda koja:	Proizvodi inzulin	Pomaže sazrijevanju T-limfocita	Luči adrenalin	Proizvodi eritrocite	1	Aktivnija u djetinjstvu.
117	1	Slezena služi za:	Probavu masti	Filtriranje krvi i skladištenje eritrocita	Proizvodnju žuči	Izlučivanje urina	1	Razgrađuje stare eritrocite.
118	1	Metabolizam je:	Samo razgradnja tvari	Ukupnost kemijskih reakcija u organizmu	Samo izgradnja tvari	Samo disanje	1	Anabolizam (izgradnja) + katabolizam (razgradnja).
119	1	BMI (indeks tjelesne mase) se računa kao:	Visina / masa	Masa (kg) / visina^2 (m^2)	Masa * visina	Visina^2 * masa	1	Normalan BMI: 18,5-24,9.
120	1	Vitamin D stvara se u koži pod utjecajem:	Zvuka	UV zračenja sunca	Toplina iz grijanja	Zraka	1	Važan za zdravlje kostiju.
121	2	Heterozigot ima genotip:	AA	aa	Aa	AABB	2	Jedan dominantni i jedan recesivni alel.
122	2	Homozigot dominantni ima genotip:	Aa	aa	AA	Ab	2	Oba alela dominantna.
123	2	Homozigot recesivni ima genotip:	AA	aa	Aa	AB	1	Oba alela recesivna.
124	2	Ako je Aa × Aa, koliki postotak potomaka je homozigot recesivan?	75%	50%	25%	0%	2	AA:Aa:aa = 1:2:1, dakle 25% aa.
125	2	Spolno vezano nasljeđivanje znači da je gen:	Na autosomu	Na spolnom kromosomu (X ili Y)	U mitohondriju	U citoplazmi	1	Npr. daltonizam i hemofilija su X-vezani.
126	2	Daltonizam je:	Sposobnost da se vide ultraljubičaste boje	Nemogućnost razlikovanja crvene i zelene boje	Savršen vid	Dalekovidnost	1	X-vezano recesivno, češće kod muškaraca.
