ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
1	1	Kako nazivamo pojavu da tijelima natrljana vunom privlače lagane predmete?	Magnetizam	Gravitacija	Elektriziranje (statički elektricitet)	Trenje	2	Trljanje prenosi elektrone i tijelo postaje nabijeno.
2	1	Koja je osnovna jedinica za električni naboj?	Amper (A)	Volt (V)	Kulon (C)	Ohm (Ω)	2	1 C = naboj koji prođe u 1 s pri struji od 1 A.
3	1	Istoimeni naboji se:	Privlače	Ne utječu jedni na druge	Odbijaju	Neutraliziraju	2	+ i + se odbijaju, - i - se odbijaju.
4	1	Raznoimeni naboji se:	Privlače	Odbijaju	Poništavaju	Ne utječu	0	+ i - se privlače.
5	1	Koja čestica nosi negativni naboj?	Proton	Neutron	Foton	Elektron	3	Elektroni kruže oko jezgre atoma.
6	1	Što je električna struja?	Mirovanje naboja	Usmjereno gibanje naboja kroz vodič	Promjena temperature	Gubitak mase	1	Elektroni se gibaju od - prema + polu.
7	1	Koja je mjerna jedinica za jakost električne struje?	Kulon (C)	Volt (V)	Amper (A)	Watt (W)	2	Amper, po André-Mariu Ampèreu.
8	1	Instrument za mjerenje jakosti struje je:	Voltmetar	Termometar	Ampermetar	Barometar	2	Ampermetar se spaja u seriju (u nizu).
9	1	Instrument za mjerenje napona je:	Ampermetar	Voltmetar	Dinamometar	Wattmetar	1	Voltmetar se spaja paralelno (usporedno).
10	1	Mjerna jedinica za električni napon je:	Amper (A)	Ohm (Ω)	Watt (W)	Volt (V)	3	Po Alessandru Volti.
11	1	Ohmov zakon glasi:	U = R / I	U = I * R	U = I + R	U = I - R	1	Napon = jakost struje * otpor.
12	1	Mjerna jedinica za električni otpor je:	Amper (A)	Volt (V)	Watt (W)	Ohm (Ω)	3	Po Georgu Ohmu.
13	1	Ako je napon 12 V i otpor 4 Ω, jakost struje je:	48 A	3 A	16 A	8 A	1	I = U / R = 12 / 4 = 3 A.
14	1	Ako je I = 2 A i R = 5 Ω, koliki je napon?	2,5 V	7 V	10 V	3 V	2	U = I * R = 2 * 5 = 10 V.
15	1	U serijskom spoju otpornika ukupni otpor se:	Smanjuje	Ne mijenja	Zbraja	Dijeli	2	R_uk = R1 + R2 + ... u serijskom spoju.
16	1	U paralelnom spoju dvaju otpornika R1 = R2 = 10 Ω, ukupni otpor je:	20 Ω	10 Ω	5 Ω	100 Ω	2	1 / R_uk = 1 / 10 + 1 / 10 = 2 / 10, R_uk = 5 Ω.
17	1	Materijal koji dobro vodi struju je:	Staklo	Guma	Bakar	Plastika	2	Metali su dobri vodiči, bakar posebno.
18	1	Materijali koji ne vode struju nazivaju se:	Izolatori	Vodiči	Poluvodiči	Magneti	0	Guma, plastika i staklo su izolatori.
19	1	Formula za snagu električne struje je:	P = U / I	P = I^2 / R	P = U * I	P = R * U	2	Snaga = napon * jakost struje.
20	1	Mjerna jedinica za snagu je:	Ohm (Ω)	Joule (J)	Amper (A)	Watt (W)	3	1 W = 1 V * 1 A.
21	1	Kolika je snaga uređaja koji radi na 230 V i troši 2 A?	115 W	232 W	460 W	1000 W	2	P = 230 * 2 = 460 W.
22	1	Električna energija se mjeri u:	Voltima	Kilowat-satima (kWh)	Amperima	Ohmima	1	Kućna potrošnja mjeri se u kWh.
23	1	Koliko joula ima 1 kWh?	1000 J	3 600 000 J	360 J	100 000 J	1	1 kWh = 1000 W * 3600 s = 3 600 000 J.
24	1	Žarulja snage 100 W radi 10 sati. Koliko je potrošila?	10 kWh	1000 Wh	100 kWh	1 kWh	3	E = 100 W * 10 h = 1000 Wh = 1 kWh.
25	1	Osigurač u kući služi za:	Pojačavanje struje	Zaštitu od prevelike struje	Mjerenje napona	Proizvodnju energije	1	Prekida strujni krug kada struja prijeđe dopuštenu granicu.
26	1	Koji je simbol za bateriju u shemi strujnog kruga?	Dvije paralelne crte (duža i kraća)	Kružić	Trokut	Pravokutnik	0	Standardni simbol za izvor istosmjerne struje.
27	1	Otpor vodiča ovisi o:	Boji vodiča	Duljini, presjeku i materijalu	Samo o temperaturi	Masi vodiča	1	R = ρ * l / A (specifični otpor * duljina / presjek).
28	1	Što se dogodi ako se produži vodič istog materijala?	Otpor ostaje isti	Otpor se smanjuje	Otpor ostaje veći	Otpor se povećava	3	Dulji vodič = veći otpor.
29	1	Što je kratki spoj?	Prekid strujnog kruga	Spoj s velikim otporom	Izravni spoj polova izvora s malim otporom	Normalan rad uređaja	2	Protječe velika struja koja može izazvati požar.
30	1	Formula za rad električne struje je:	W = P * t	W = U / t	W = I / t	W = R * t	0	W = P * t = U * I * t.
31	1	Koliko otpornika od 6 Ω treba spojiti paralelno da ukupni otpor bude 2 Ω?	2	4	3	6	2	1 / R_uk = 3 / 6 = 1 / 2, dakle R_uk = 2. Trebaju 3.
32	1	Dva otpornika R1 = 3 Ω i R2 = 6 Ω su paralelno. R_uk je:	9 Ω	2 Ω	4,5 Ω	1 Ω	1	1 / R = 1 / 3 + 1 / 6 = 3 / 6 = 1 / 2, R = 2 Ω.
33	2	Magnet uvijek ima:	Samo sjeverni pol	Samo južni pol	Sjeverni i južni pol	Nijedan pol	2	Magnetski polovi su nerazdvojivi.
34	2	Istoimeni magnetski polovi se:	Privlače	Ne reagiraju	Poništavaju	Odbijaju	3	S-S i N-N se odbijaju.
35	2	Kompas pokazuje smjer koristeći:	Električni naboj	Sunčevu svjetlost	Zemljino magnetsko polje	Gravitaciju	2	Magnetna igla se poravnava s magnetskim poljem Zemlje.
36	2	Elektromagnet nastaje kada:	Magnet grije vodu	Struja prolazi kroz zavojnicu	LED svijetli	Baterija je prazna	1	Struja stvara magnetsko polje oko vodiča.
37	2	Elektromagnet se može pojačati:	Smanjenjem struje	Povećanjem broja namotaja i struje	Uklanjanjem jezgre	Hlađenjem	1	Više namotaja i jača struja = jači magnet.
