ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
101	1	Koja je razlika između geografske širine i duljine?	Nema razlike	Širina mjeri udaljenost od ekvatora, duljina od Greenwich meridijana	Duljina mjeri udaljenost od ekvatora	Širina i duljina su iste	1	Širina: 0°-90° N/S, duljina: 0°-180° E/W.
102	1	Erozija je:	Nagomilavanje tla	Trošenje i odnošenje tla vodom, vjetrom ili ledom	Rast biljaka	Vulkanska aktivnost	1	Voda, vjetar i led oblikuju reljef.
103	1	Delta rijeke nastaje:	U izvoru	Na ušću, taloženjem nanosa	U gornjom toku	U jezeru	1	Npr. delta Nila, Dunava.
104	1	Što je atol?	Vulkan	Otočka struktura u obliku prstena, od koralja	Planina	Špilja	1	Nastaje na potopljenim vulkanskim otocima.
105	1	Fjord je:	Pustinja	Dubok, uski morski zaljev nastao ledenjačkom erozijom	Ravnica	Vulkan	1	Karakterističan za Norvešku.
106	1	Monsun je:	Vulkan	Sezonski vjetar koji donosi kišno ili suho doba	Zemljotres	Morska struja	1	Posebno jak u Indiji.
107	1	El Niño je:	Vrsta ribe	Zagrijavanje Tihog oceana koje utječe na globalnu klimu	Vrsta vjetra	Vrsta oblaka	1	Cikluse donose suše u Australiji i poplave u J. Americi.
108	1	Oceanska klima je karakteristična za:	Unutrašnjost kontinenata	Obale pod utjecajem oceana (blage zime, svježa ljeta)	Pustinje	Polarne regije	1	Npr. Irska, Velika Britanija.
109	1	Kontinentalna klima ima:	Jednoliku temperaturu	Vruća ljeta i hladne zime	Samo kišu	Samo snijeg	1	Daleko od oceana, velike temperaturne razlike.
110	2	Koliko županija ima Hrvatska?	15	20	21	25	2	20 županija + Grad Zagreb.
111	2	Velebit je:	Rijeka	Najduža planina u Hrvatskoj	Otok	Jezero	1	Proteže se oko 145 km duž obale.
112	2	Kornati su:	Planine	Nacionalni park — otočje u Jadranskom moru	Jezera	Rijeke	1	Oko 89 otoka, otočića i grebena.
113	2	Krka je:	Planina	Rijeka i nacionalni park u Šibensko-kninskoj županiji	Grad	Otok	1	Poznata po slapovima, posebno Skradinski buk.
114	2	Kopački rit je:	Planina	Park prirode — vlažno stanište uz Dunav	Grad	Morski rezervat	1	Jedno od najvećih močvarnih područja u Europi.
115	1	Ledenjaci su:	Samo u Antarktici	Velike mase leda koje se gibaju pod vlastenom težinom	Samo na Grenlandu	Samo na planinama	1	Postoje i kontinentalni i planinski ledenjaci.
116	1	Zagrijavanje oceana uzrokuje:	Smanjenje razine mora	Porast razine mora i izbljeđivanje koralja	Smanjenje temperatura	Više leda	1	Toplinska ekspanzija vode + topljenje leda.
117	2	Glavni grad Austrije je:	Innsbruck	Salzburg	Beč	Graz	2	Na Dunavu, 1,9 milijuna stanovnika.
118	2	Glavni grad Mađarske je:	Debrecen	Budimpešta	Szeged	Pécs	1	Na Dunavu, Buda + Pest.
119	2	Slovenija se nalazi:	Na Baltiku	Na Jadranskom moru, sjeverozapadno od Hrvatske	Na Crnom moru	U Aziji	1	Ljubljana je glavni grad.
120	2	Bosna i Hercegovina graniči s Hrvatskom na:	Sjeveru	Istoku i jugu	Zapadu	Sjeverozapadu	1	Dugačka granica, Sarajevo je glavni grad.
121	1	Karta s većim mjerilom (npr. 1:25 000) prikazuje:	Veće područje s manje detalja	Manje područje s više detalja	Cijelu Zemlju	Samo oceane	1	Veće mjerilo = više detalja.
122	1	Izohipse na karti su:	Linije jednake temperature	Linije jednake nadmorske visine	Linije jednakih oborina	Linije jednakog tlaka	1	Bliže izohipse = strmiji teren.
123	2	Grčka je kolijevka:	Azijske kulture	Zapadne civilizacije i demokracije	Kineske kulture	Afrička kulture	1	Atena je glavni grad.
124	2	Turska se nalazi na:	Samo u Europi	Dva kontinenta — Europa i Azija	Samo u Aziji	Samo u Africi	1	Istanbul je na obje strane Bospora.
125	1	Pasatni vjetrovi pušu:	Od polova prema ekvatoru	Od suptropskih visokih tlakova prema ekvatoru	Od ekvatora prema polovima	Samo na planinama	1	Stalni vjetrovi u tropima.
126	1	Coriolisov efekt uzrokuje:	Vulkane	Skretanje vjetrova i morskih struja zbog rotacije Zemlje	Plimne valove	Potrese	1	Udesno na sjevernoj, ulijevo na južnoj polutki.
127	2	Meksiko je:	Europska država	Država u Sjevernoj Americi	Azijska država	Afrička država	1	México City je glavni grad, 130+ mil. stanovnika.
128	2	Kanada je:	Najmnogoljudnija država	Druga najveća država po površini	Najmanja država	Otok	1	Ottawa je glavni grad, golema ali rijetko naseljena.
129	1	Biodiverzitetski hotspot je:	Područje bez života	Područje s iznimno visokom bioraznolikošću koje je ugroženo	Pustinja	Sjeverni pol	1	Npr. Madagaskar, Indonezija.
