ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
1	1	Kako se kaže 'prijatelj' na njemačkom?	Feind	Freund	Bruder	Lehrer	1	der Freund (m), die Freundin (ž).
2	1	Koji je ispravni oblik: 'Ich ___ Deutsch.'?	lernt	lernen	lerne	lernst	2	Ich lerne — 1. lice jednine.
3	1	Konjugacija 'haben' u 3. licu jednine:	haben	hast	hat	habe	2	Er/sie/es hat.
4	1	Konjugacija 'sein' u 1. licu jednine:	bist	ist	sind	bin	3	Ich bin.
5	1	Rodni član za 'Buch' (knjiga) je:	der	die	das	den	2	das Buch — srednji rod.
6	1	Rodni član za 'Schule' (škola) je:	der	die	das	dem	1	die Schule — ženski rod.
7	1	Rodni član za 'Hund' (pas) je:	die	das	der	dem	2	der Hund — muški rod.
8	1	Kako se kaže 'Koliko imaš godina?' na njemačkom?	Wo wohnst du?	Wie alt bist du?	Wie heißt du?	Was machst du?	1	Wie alt bist du? — Ich bin 14 Jahre alt.
9	1	Prezent glagola 'gehen' (ići) za 'du':	geht	gehe	gehen	gehst	3	Du gehst.
10	1	Koji padež koristi prijedlog 'mit'?	Nominativ	Akuzativ	Genitiv	Dativ	3	Npr. mit dem Freund.
11	1	Koja je množina od 'Kind' (dijete)?	Kinden	Kinder	Kindere	Kinds	1	die Kinder.
12	1	Perfekt glagola 'machen' (raditi) je:	Ich habe gemacht	Ich bin gemacht	Ich gemacht habe	Ich war gemacht	0	haben + Partizip II.
13	1	Perfekt glagola 'gehen' (ići) je:	Ich habe gegangen	Ich bin gegangen	Ich gegangen bin	Ich war gegangen	1	Glagoli kretanja koriste 'sein'.
14	1	Kako se tvori Partizip II. pravilnih glagola?	ge- + osnova + -en	ge- + osnova + -t	osnova + -ing	osnova + -ed	1	Npr. machen → gemacht.
15	1	Kako se kaže 'liječnik' na njemačkom?	Lehrer	Arzt	Koch	Polizist	1	der Arzt / die Ärztin.
16	1	Koji je pravilan red riječi u njemačkoj izjavnoj rečenici?	Glagol na kraju	Subjekt-glagol-objekt	Objekt-glagol-subjekt	Glagol na početku	1	Glagol na drugom mjestu.
17	1	Kako se kaže 'jer' na njemačkom?	aber	oder	weil	und	2	Weil — uvodi zavisnu surečenicu.
18	1	U rečenici s 'weil' glagol ide:	Na drugo mjesto	Na prvo mjesto	Na kraj surečenice	Na početak	2	Nebensatz — glagol na kraju.
19	1	Dativ množine člana 'der' je:	der	die	den	dem	2	den Kindern, den Freunden.
20	1	Kako glasi negacija u njemačkom?	Nein, nicht, kein	Non, ne	No, not	Nej, inte	0	Nein = ne, nicht = ne (uz glagol), kein = nijedan.
21	2	Komparativ pridjeva 'gut' (dobar) je:	guter	besser	am besten	mehr gut	1	gut — besser — am besten (nepravilan).
