ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
101	1	Kako se kaže 'život' na njemačkom?	Tod	Leben	Liebe	Arbeit	1	das Leben.
102	1	Kako se kaže 'posao/rad' na njemačkom?	Spiel	Schule	Arbeit	Freizeit	2	die Arbeit.
103	1	Kako se kaže 'prijateljstvo' na njemačkom?	Liebe	Freundschaft	Familie	Feindschaft	1	die Freundschaft.
104	1	Kako se kaže 'boja' na njemačkom?	Form	Farbe	Licht	Schatten	1	die Farbe.
105	2	Koji je Partizip II. glagola 'sprechen'?	gesprochen	gesprecht	gesprechen	sprecht	0	Ich habe gesprochen = Govorio sam.
106	2	Koji je Partizip II. glagola 'nehmen'?	genehmt	genommen	genommt	genehmen	1	Ich habe genommen = Uzeo sam.
107	2	Koji je Partizip II. glagola 'finden'?	gefindet	gefunden	gefinden	findet	1	Ich habe gefunden = Pronašao sam.
108	2	Koji je Partizip II. glagola 'sehen'?	geseht	gesehen	gesieht	gesehet	1	Ich habe gesehen = Vidio sam.
109	1	Kako se kaže 'stan' na njemačkom?	Haus	Wohnung	Zimmer	Gebäude	1	die Wohnung.
110	1	Kako se kaže 'soba' na njemačkom?	Wohnung	Haus	Zimmer	Küche	2	das Zimmer.
111	1	Kako se kaže 'kuhinja' na njemačkom?	Zimmer	Küche	Bad	Garten	1	die Küche.
112	1	Kako se kaže 'kupaonica' na njemačkom?	Küche	Schlafzimmer	Badezimmer	Wohnzimmer	2	das Badezimmer.
113	2	Konjunkcija 'deshalb' znači:	Ali	Zato / stoga	Premda	Jer	1	Hauptsatz-Konjunktion — inverzija!
114	2	Konjunkcija 'trotzdem' znači:	Zato	Jer	Usprkos tome / ipak	Ako	2	Trotzdem gehe ich. = Ipak idem.
115	2	Konjunkcija 'jedoch' znači:	Zato	Ipak / međutim	Jer	Kada	1	Er ist müde, jedoch arbeitet er weiter.
116	1	Kako se kaže 'automobil' na njemačkom?	Fahrrad	Motorrad	Auto / Wagen	Bus	2	das Auto, der Wagen.
117	1	Kako se kaže 'bicikl' na njemačkom?	Auto	Fahrrad	Motorrad	Roller	1	das Fahrrad.
118	1	Kako se kaže 'slobodno vrijeme' na njemačkom?	Arbeitszeit	Freizeit	Schulzeit	Urlaubszeit	1	die Freizeit.
119	1	Kako se kaže 'glazba' na njemačkom?	Kunst	Sport	Musik	Theater	2	die Musik.
120	1	Kako se kaže 'sport' na njemačkom?	Musik	Kunst	Sport	Spiel	2	der Sport.
