ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
101	1	Što je bio Marš na Rim (1922.)?	Sportski događaj	Mussolinijevo preuzimanje vlasti u Italiji	Vojni napad na Rim	Olimpijski maraton	1	Fašisti organizirano marširali — kralj imenovao Mussolinija premijerom.
102	1	Nürnberški racial zakoni (1935.) su:	Zaštitili manjine	Ozakonili diskriminaciju Židova u Njemačkoj	Promovirali jednakost	Samo ekonomski zakoni	1	Oduzeta građanska prava Židovima.
103	1	Kristallnacht (Noć slomljenog stakla, 1938.):	Bio je festival	Bio je organizirani pogrom protiv Židova	Bio je mirovan prosvjed	Bio je sportski događaj	1	Sinagoge, trgovine i domovi uništeni.
104	1	Anschluss (1938.) je:	Ugovor s Francuskom	Pripojenje Austrije Njemačkoj	Odvajanje Bavarske	Vojno povlačenje	1	Hitler pripojio Austriju bez otpora.
105	1	Münchenski sporazum (1938.) dozvolio je:	Mir u Aziji	Njemačko pripajanje Sudetske oblasti Čehoslovačke	Slobodu Poljske	Neovisnost Irske	1	Politika popuštanja (appeasement).
106	1	Blitzkrieg (mujeviti rat) značio je:	Dugotrajnu opsadu	Brzu kombinirani napad tenkova i avijacije	Samo bombarardiranje	Samo mornarički napad	1	Njemačka taktika na početku II. sv. rata.
107	1	Operacija Barbarossa (1941.) je:	Napad na Francusku	Njemački napad na SSSR	Japanski napad na SAD	Italijanski napad na Grčku	1	Najveća kopnena invazija u povijesti.
108	1	Lend-Lease Act (1941.) omogućio je:	Samo trgovinu	SAD-u da dostavi oružje saveznicima prije ulaska u rat	Samo diplomatski kontakt	Izolirovanie SAD-a	1	Materijalna pomoć UK-u i SSSR-u.
109	2	Marshallov plan (1948.) služio je za:	Vojnu ekspanziju	Ekonomski oporavak Europe nakon II. sv. rata	Kolonijalnu ekspanziju	Svemirski program	1	Američka financijska pomoć — oporavak zapadne Europe.
110	2	Trumanova doktrina (1947.) je:	Ekonomska politika	Američka politika zadržavanja širenja komunizma	Kulturna razmjena	Sportska inicijativa	1	Podrška zemljama koje se opiru komunizmu.
111	2	Berlinska blokada (1948.-49.) završena je:	Vojnim napadom	Zračnim mostom — saveznici opskrbljivli Zapadni Berlin	Predajom Berlina	Mirovnim ugovorom	1	Avioni su donosili hranu i gorivo.
112	2	Mađarska revolucija 1956. bila je:	Uspješna	Ugušena sovjetskim tenkovima	Ekonomska reforma	Sportski događaj	1	Pokušaj oslobođenja od sovjetske kontrole.
113	2	Pokret za stare dokumente o pravima:	Magna Carta 1215.	Ustav SAD-a 1787.	Deklaracija o pravima čovjeka i građanina 1789.	Sve navedene	3	Temelji suvremenih ljudskih prava.
114	2	Nelson Mandela postao je predsjednik JAR-a:	1990.	1994.	2000.	1980.	1	Pobijedio na prvim demokratskim izborima.
115	1	Ženevski sporazum (1929.) odnosio se na:	Trgovinu	Zaštitu ratnih zarobljenika	Svemirske letove	Ekonomske sankcije	1	Temelj međunarodnog humanitarnog prava.
116	1	Nürnberški sudski proces (1945.-46.) sudio je:	Ekonomskim kriminalcima	Nacističkim ratnim zločincima	Sportskim prevarantima	Trgovcima	1	Preteča međunarodnog pravnog sustava.
117	1	Stalinove čistke bile su:	Ekonomske reforme	Masovna uhićenja i pogubljenja sumnjivih protivnika	Kulturni projekti	Vojni manevri	1	1930-ih u SSSR-u — milione žrtava.
118	1	Holodomor (1932.-33.) bio je:	Prirodna katastrofa	Intenzivna glad u Ukrajini uzrokovana Staljinovom politikom	Vojna operacija	Kulturni pokret	1	Milioni Ukrajinaca umrli od gladi.
119	2	Informacijsko doba počinje:	1800-ih	1950-ih	Od 1970-ih/80-ih razvojom računala i interneta	2020-ih	2	Digitalna revolucija mijenja svijet.
120	2	Internet je razvijen iz:	Trgovačke mreže	Vojnog projekta ARPANET	Televizijske mreže	Radijske mreže	1	1969. — prva veza, javni internet od 1990-ih.
121	2	Rezolucija 1244 UN-a odnosi se na:	Palestinu	Kosovo	Cipar	Kašmir	1	1999. — postavljene međunarodne snage na Kosovo.
122	2	Irački rat 2003. počeo je:	Zbog nuklearnog napada	Invazijom SAD-a na Irak (tvrdnje o oružju za masovno uništenje)	Zbog civilnog rata	Zbog UN mandata	1	WMD nikada nisu pronađena.
123	1	Galipoljska bitka (1915.) bila je:	Uspješna za Saveznike	Neuspjeli pokušaj Saveznika da zauzmu Dardanele	Samo pomorska bitka	Bitka na Zapadnom frontu	1	Osmanci obranili poluotok.
