ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
1	1	Što je epski rod u književnosti?	Dramski rod	Rod u kojem se pripovijeda o događajima	Lirski rod	Samo poezija	1	Epika = pripovjedačka književnost (roman, novela, ep).
2	1	Što je lirski rod?	Pripovjedačka djela	Kazališna djela	Rod koji izražava osjećaje i doživljaje	Samo proza	2	Lirika = poezija koja izražava emocije.
3	1	Dramski rod podrazumijeva:	Samo romane	Književna djela namijenjena izvođenju na pozornici	Samo poeziju	Samo eseje	1	Tragedija, komedija, drama.
4	1	Roman je:	Kratka priča	Opsežno prozno djelo s razgranatom radnjom	Pjesma	Drame	1	Najsloženiji oblik epskog roda.
5	1	Novela je:	Dugi roman	Kratka priča s jednim neočekivanim obratom	Pjesma	Drama	1	Boccacciov Dekameron — primjer.
6	1	Sonet ima:	3 strofe	14 stihova (dva katrena i dva terceta)	10 stihova	20 stihova	1	Petrarca — poznati autor soneta.
7	1	Što je metafora?	Usporedba s 'kao'	Preneseno značenje bez uporabe 'kao'	Ponavljanje glasova	Pretjerivanje	1	Npr. 'Život je putovanje.'
8	1	Što je usporedba (komparacija)?	Preneseno znač. bez 'kao'	Usporedba dviju stvari pomoću 'kao' ili 'poput'	Pretjerivanje	Ponavljanje	1	Npr. 'Brz kao vjetar.'
9	1	Hiperbola je:	Umanjivanje	Stilska figura pretjerivanja	Usporedba	Ponavljanje	1	Npr. 'Rekao sam ti milijun puta!'
10	1	Personifikacija je:	Usporedba	Pridavanje ljudskih osobina predmetima ili životinjama	Pretjerivanje	Ponavljanje glasova	1	Npr. 'Vjetar šapuće.'
11	1	Ironija je:	Pretjerivanje	Izricanje suprotnog od onog što se misli	Ponavljanje	Usporedba	1	Npr. govoriti 'Kako si pametan!' nekome tko je napravio glupost.
12	1	Aliteracija je:	Ponavljanje samoglasnika	Ponavljanje istih suglasnika na početku riječi	Pretjerivanje	Usporedba	1	Npr. 'Plava ptica pjeva pjesmu.'
13	1	Anafora je:	Ponavljanje krajnjih riječi	Ponavljanje iste riječi ili grupe riječi na početku stihova	Usporedba	Ironija	1	Pojačava dojam i ritam.
14	1	Epifora je:	Ponavljanje na početku	Ponavljanje na kraju stihova ili rečenica	Usporedba	Pretjerivanje	1	Suprotno od anafore.
15	1	Što je sinegdoha?	Pretjerivanje	Zamjena dijela za cjelinu ili obratno	Usporedba	Ponavljanje	1	Npr. 'Imamo krova nad glavom' = dom.
16	1	Metonimija je:	Zamjena naziva po prostornoj, vremenskoj ili uzročnoj vezi	Usporedba	Pretjerivanje	Ponavljanje	0	Npr. 'Cijeli grad je slavio' = stanovnici.
17	1	Rima je:	Ponavljanje suglasnika	Glasovno podudaranje na kraju stihova	Pretjerivanje	Usporedba	1	Parna (aabb), unakrsna (abab), obgrljena (abba).
18	1	Slobodni stih nema:	Značenje	Pravilnu rimu i metar	Stilske figure	Temu	1	Moderna poezija često koristi slobodni stih.
19	1	August Šenoa napisao je:	Lovac u žitu	Zlatarovo zlato	Proces	Antigonu	1	Hrvatski književnik 19. stoljeća.
20	1	Antun Gustav Matoš bio je:	Političar	Jedan od najvažnijih hrvatskih književnika moderne	Glazbenik	Zubar	1	Pjesnik, feljtonist, kritičar.
