ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
101	1	Što je stilska figura oksimoron?	Pretjerivanje	Spajanje proturječnih pojmova	Usporedba	Ponavljanje	1	Npr. 'živi mrtvac', 'glasna tišina'.
102	1	Paradoks je:	Usporedba	Izjava koja je naizgled proturječna, ali sadrži istinu	Pretjerivanje	Ponavljanje	1	Npr. 'Manje je više.'
103	1	Onomatopeja je:	Pretjerivanje	Oponašanje zvukova riječima	Usporedba	Ironija	1	Npr. 'šuškati', 'cvrkutati', 'bum'.
104	1	Epiteti su:	Glagoli	Ukrasni pridjevi	Imenice	Veznici	1	Npr. 'bijeli grad', 'plavo more'.
105	1	Gradacija je:	Ponavljanje istog	Stupnjevito nizanje pojmova po jakosti	Suprotnost	Usporedba	1	Npr. 'Dobar, bolji, najbolji.'
106	2	Pasivna rečenica je:	Rečenica s aktivnim subjektom	Rečenica u kojoj subjekt trpi radnju	Usklična rečenica	Upitna rečenica	1	Npr. 'Knjiga je pročitana od učenika.'
107	2	Koji je glagolski oblik 'bio bih čitao'?	Futur II.	Kondicional II.	Perfekt	Aorist	1	Neostvarena radnja u prošlosti.
108	2	Futur II. tvori se od:	Prezenta i infinitiva	Svršenog prezenta glagola 'biti' + glagolskog pridjeva radnog	Perfekta + prezenta	Imperativa + infinitiva	1	Npr. 'Kad budem pročitao...'
109	1	Marin Držić napisao je:	Antigonu	Dundu Marojе	Zlatarovo zlato	Kiklop	1	Najvažnija hrvatska komedija — renesansa.
110	1	Ivan Gundulić napisao je:	Dundo Maroje	Osman	Priče iz davnine	Kiklop	1	Barokni ep — dubrovačka književnost.
111	1	Slobodan Novak poznati je po:	Romanu Mirisi, zlato i tamjan	Poeziji	Glazbi	Slikarstvu	0	Modernistički roman.
112	2	Ponašanje glasova na spojevima riječi zove se:	Derivacija	Glasovne promjene (sibilarizacija, palatalizacija...)	Konjugacija	Deklinacija	1	Npr. k → c (junak → junaci).
113	2	Sibilarizacija je glasovna promjena:	c → č	k → c, g → z, h → s (ispred i)	s → š	t → d	1	Npr. vojnik → vojnici, drug → druzi.
114	2	Palatalizacija je glasovna promjena:	k → c	k → č, g → ž, h → š	s → z	t → d	1	Npr. junak → junače, duh → duše.
115	2	Jotacija je:	Promjena s → z	Stapanje suglasnika s j	Promjena k → c	Promjena g → z	1	Npr. ljut (l + j = lj), grožđe (d + j = đ).
116	2	Nepostojano 'a' je:	Uvijek prisutno	Samoglasnik koji se pojavljuje ili gubi u promjenu oblika	Suglasnik	Naglasak	1	Npr. momak → momka, kotac → kotca.
117	2	Jednačenje po zvučnosti znači:	Ista boja	Zvučni suglasnik postaje bezvučan ispred bezvučnoga i obratno	Isti naglasak	Isti rod	1	Npr. svadba → [svazba], otac → [odac].
118	2	Jednačenje po mjestu tvorbe znači:	Ista boja	Suglasnik se prilagođava mjestu tvorbe sljedećeg	Isti naglasak	Isti rod	1	Npr. s njim → š njim.
119	1	Slavko Mihalić bio je:	Glazbenik	Istaknuti hrvatski pjesnik	Slikar	Sportaš	1	Zbirka Komorna muzika.
120	1	Milka Pogačić poznata je kao:	Pjevačica	Pedagoginja i autorica dječje književnosti	Znanstvenica	Sportašica	1	Doprinijela razvoju dječje literature u Hrvatskoj.
121	1	Ivo Vojnović napisao je:	Dubrovačku trilogiju	Zlatarovo zlato	Priče iz davnine	Kiklop	0	Tri dramska teksta o propasti Dubrovačke Republike.
122	2	Umanjenice (deminutivi) izražavaju:	Povećanje	Malu veličinu ili nježnost	Suprotnos	Neutralnost	1	Npr. kućica, cvjetić.
123	2	Uvećanice (augmentativi) izražavaju:	Malu veličinu	Veliku veličinu ili grubost	Nježnost	Neutralnost	1	Npr. kućetina, vjetruština.
124	2	Eufemizam je:	Gruba riječ	Ublažen izraz za nešto neugodno	Psovka	Ponavljanje	1	Npr. 'preminuo' umjesto 'umro'.
125	1	Esej je:	Drama	Prozni oblik koji izlaže osobna razmišljanja o nekoj temi	Samo poezija	Samo novela	1	Montaigne — otac eseja.
126	1	Kritika je:	Samo pohrva	Vrednovanje i analiza umjetničkog djela	Samo naracija	Samo opis	1	Književna, filmska, glazbena kritika.
127	2	Koliko vrsta zamjenica postoji?	2	4	7	10	2	Osobne, posvojne, pokazne, upitne, odnosne, neodređene, povratna.
128	2	Povratna zamjenica 'se' nema:	Akuzativ	Genitiv	Vokativ	Nominativ	3	Nema nominativa jer se uvijek odnosi na subjekt — sebe, sebi, se, sobom...
129	1	Tin Ujević spada u književni pokret:	Realizam	Moderna/ekspresionizam	Romantizam	Barok	1	Izrazito lirski pjesnik.
130	1	Marija Jurić Zagorka napisala je:	Zlatarovo zlato	Grička vještica	Antigonu	Matiju Gupca	1	Prva hrvatska novinarka i popularni romansijer.
131	2	Tvorba riječi u hrvatskom uključuje:	Samo prefiksalnu	Prefiksalnu, sufiksalnu i slaganje	Samo sufiksalnu	Samo slaganje	1	Tri osnovna načina tvorbe novih riječi.
132	2	Prefiks 'ne-' služi za:	Uvećavanje	Tvorbu negacije	Tvorbu umanjenice	Množinu	1	Npr. nestati, neznanje, nervozan.
133	2	Sufiks '-ar' tvori imenice koje označavaju:	Životinje	Zanimanje ili osobu	Boje	Brojeve	1	Npr. zidar, mesar, ljekar.
134	1	Fantastika u književnosti:	Koristi samo stvarne događaje	Uvodi natprirodne, čudesne elemente	Samo dokumentira	Samo opisuje prirodu	1	Npr. elementi u bajkama i fantasy romanima.
135	1	Realizam kao književni pravac:	Prikazuje idealizirani svijet	Prikazuje svakodnevnu stvarnost objektivno	Samo fantaziju	Samo simbole	1	19. st. — Balzac, Flaubert, Šenoa.
136	1	Modernizam u književnosti:	Konzervativan	Eksperimentira s formom, jezikom i perspektivom	Tradicionalan	Samo klasičan	1	Kafka, Joyce, Krleža.
137	2	Glagolsko stanje može biti:	Samo aktivno	Aktivno i pasivno	Samo pasivno	Samo refleksivno	1	Npr. 'Čitam knjigu' (aktiv) vs. 'Knjiga je čitana' (pasiv).
