ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
1	1	Što su kiseline?	Tvari koje u vodi otpuštaju OH- ione	Tvari koje u vodi otpuštaju H+ ione	Samo soli	Samo metali	1	Kiseline daju vodikove ione (H+) u otopini.
2	1	Što su baze (lužine)?	Tvari koje daju H+ ione	Samo soli	Tvari koje u vodi otpuštaju OH- ione	Samo metali	2	Baze daju hidroksilne ione (OH-).
3	1	Kemijska formula za solnu (klorovodičnu) kiselinu je:	H2SO4	HNO3	HCl	H3PO4	2	Klorovodik otopljen u vodi.
4	1	Kemijska formula za sumpornu kiselinu je:	HCl	H2SO4	HNO3	H2CO3	1	Jaka, dvoprotonska kiselina.
5	1	Kemijska formula za natrijev hidroksid (lužina) je:	NaCl	Na2O	NaOH	Na2SO4	2	Poznata i kao kaustična soda.
6	1	pH skala mjeri:	Masu otopine	Temperaturu	Kiselost ili bazičnost otopine	Gustoću	2	pH od 0 do 14.
7	1	Neutralna otopina ima pH:	0	14	7	1	2	Čista voda ima pH = 7.
8	1	Kiselina ima pH:	Veći od 7	Jednak 7	Manji od 7	Jednak 14	2	Što je pH niži, to je kiselina jača.
9	1	Baza ima pH:	Manji od 7	Jednak 0	Jednak 7	Veći od 7	3	Bazične otopine imaju pH između 7 i 14.
10	1	Indikator koji mijenja boju u kiselini i bazi je:	Voda	Sol	Lakmus papir	Pijesak	2	Crveni u kiselini, plavi u bazi.
11	1	Reakcija kiseline i baze daje:	Samo vodu	Sol i vodu	Samo plin	Metal	1	Neutralizacija: kiselina + baza → sol + voda.
12	1	HCl + NaOH → ?	NaCl + H2O	Na2O + HCl	NaH + ClO	H2 + NaCl	0	Klasična neutralizacija.
13	1	Kemijska formula za ugljičnu kiselinu je:	CO2	H2CO3	HCO3	CH4	1	Nastaje otapanjem CO2 u vodi.
14	1	pH želučane kiseline je otprilike:	7	1-2	10	5-6	1	Vrlo kiselo okruženje za probavu.
15	1	pH sapuna je otprilike:	1	7	3	9-10	3	Sapun je blago bazičan.
16	1	Soli nastaju reakcijom:	Dva metala	Dva plina	Kiseline i baze	Dviju voda	2	Neutralizacija daje sol.
17	1	Kalcijev karbonat (vapnenac) ima formulu:	CaCl2	Ca(OH)2	CaO	CaCO3	3	Gradi se u školjkama i stijenama.
18	1	Što se događa kad kiselina reagira s metalima poput cinka?	Nastaje voda	Nastaje sol i oslobađa se vodik (H2)	Ne događa se ništa	Nastaje kisik	1	Zn + 2HCl → ZnCl2 + H2.
