ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
1	1	Električna struja je:	Protok svjetlosti	Usmjereno gibanje nabijenih čestica (elektrona)	Protok zraka	Samo toplina	1	Elektroni se gibaju kroz vodič.
2	1	Jedinica za jakost električne struje je:	Volt (V)	Amper (A)	Om (Ω)	Vat (W)	1	Ampermeter mjeri jakost struje.
3	1	Jedinica za električni napon je:	Amper (A)	Volt (V)	Om (Ω)	Vat (W)	1	Voltmetar mjeri napon.
4	1	Jedinica za električni otpor je:	Amper	Volt	Om (Ω)	Vat	2	Otpornik je element s određenim otporom.
5	1	Ohmov zakon glasi:	P = U × I	U = R × I	I = R × U	R = U × I	1	Napon = Otpor × Struja.
6	1	Serijski spoj otpornika:	Smanjuje ukupni otpor	Povećava ukupni otpor (zbrajaju se)	Nema promjene	Samo smanjuje napon	1	R_uk = R1 + R2 + R3 + ...
7	1	Paralelni spoj otpornika:	Povećava ukupni otpor	Smanjuje ukupni otpor	Nema promjene	Samo povećava struju	1	1/R_uk = 1/R1 + 1/R2 + ...
8	1	Električna snaga mjeri se u:	Volti	Amperi	Vati (W)	Omi	2	P = U × I.
9	1	Kilovat-sat (kWh) je jedinica za:	Snagu	Električnu energiju	Napon	Otpor	1	Koliko energije troši uređaj.
10	1	Istosmjerna struja (DC) teče:	Mijenja smjer	Uvijek u istom smjeru	Nema smjera	Samo u krug	1	Baterije, akumulatori — DC.
11	1	Izmjenična struja (AC) karakterizira:	Konstantan smjer	Periodičnu promjenu smjera	Samo jednosmjerno	Samo u vakuumu	1	Gradska mreža — 50 Hz u Europi.
12	1	Napon gradske mreže u Hrvatskoj je:	110 V	220 V	230 V	380 V	2	230 V, 50 Hz (jednofazno).
13	1	Osigurač (bezavačka zaštita) služi za:	Pojačavanje struje	Prekidanje strujnog kruga pri preopterećenju	Povećanje napona	Smanjenje otpri	1	Zaštita od pregrijavanja i požara.
14	1	Uzemljenje (grounding) služi za:	Pojačavanje signala	Zaštitu od strujnog udara	Povećanje snage	Smanjenje otpora	1	Odvodi struju u zemlju u slučaju kvara.
