ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
1	1	Crkva kao 'Tijelo Kristovo' znači:	Samo zgrada	Svi vjernici su povezani kao udovi jednoga tijela s Kristom kao glavom	Samo organizacija	Samo institucija	1	1 Kor 12,27 — 'Vi ste tijelo Kristovo.'
2	1	Crkva kao 'Hram Duha Svetoga' znači:	Samo građevina	Da Duh Sveti prebiva u svakom vjerniku i u zajednici	Samo simbol	Samo metafora	1	1 Kor 3,16 — 'Ne znate li da ste hram Božji?'
3	1	Četiri obilježja Crkve su:	Samo katolička	Jedna, sveta, katolička i apostolska	Samo jedna	Samo apostolska	1	Nicejsko-carigradsko Vjerovanje.
4	1	Apostolska sukcesija znači:	Samo nasljedstvo	Neprekinuti niz biskupa od apostola do danas	Samo tradicija	Samo zakon	1	Biskupi su nasljednici apostola.
5	1	Koncil je:	Samo skup	Svečano zasjedanje biskupa Crkve za odluke o vjeri	Samo proslava	Samo misa	1	II. vatikanski koncil (1962-1965) — najnoviji.
6	1	II. vatikanski koncil je:	Iz srednjeg vijeka	Održan 1962-1965 — obnovio Crkvu za suvremeni svijet	Samo za svećenike	Samo za biskupe	1	Papa Ivan XXIII. ga sazvao — aggiornamento.
7	1	Laici u Crkvi su:	Manji članovi	Svi kršćani koji nisu zaređeni — imaju svoju misiju	Samo pasivni	Samo slušatelji	1	Aktivni sudionici u životu Crkve.
8	2	Karizme su:	Samo talenti	Posebni darovi Duha Svetoga za služenje zajednici	Samo sposobnosti	Samo vještine	1	1 Kor 12 — razni darovi, jedan Duh.
9	2	Kontemplacija je:	Samo razmišljanje	Duboka molitvena tišina i prisutnost pred Bogom	Samo čitanje	Samo molitva	1	Teresa Avilska, Ivan od Križa — mistična molitva.
10	2	Meditacija u kršćanstvu:	Isto kao u istočnim religijama	Duboko razmatranje Božje riječi i prisutnosti	Samo opuštanje	Samo danjanje	1	Lectio divina — čitaj, medisitiraj, moli, kontempliraj.
11	1	Sveti Augustin bio je:	Samo monah	Biskup Hipone, teolog, autor Ispovijesti	Samo pisac	Samo filozof	1	4.-5. st. — 'Učinio si nas za sebe, Bože.'
12	1	Sveti Toma Akvinski bio je:	Samo monah	Dominikanski teolog — Summa theologiae	Samo svećenik	Samo biskup	1	13. st. — sinteza vjere i razuma.
13	1	Sveti Benedikt je:	Samo pustinjak	Osnivač benediktinskog reda — 'Ora et labora'	Samo prorok	Samo apostol	1	Moli i radi — temelj zapadnog monaštva.
14	2	Sveti Dominik osnovao je:	Franjevce	Dominikanski red — Red propovjednika	Benediktince	Isusovce	1	13. st. — borba protiv hereze, propovijedanje.
15	2	Sveti Ignacije Loyolski osnovao je:	Franjevce	Dominikance	Družbu Isusovu (Isusovce)	Benediktince	2	1534. — Duhovne vježbe, obrazovanje, misije.
16	1	Sveta Klara Asiška:	Samo sestra	Osnivačica Klarisa — sljedbenica sv. Franje	Samo prijateljica	Samo monahinja	1	Siromaštvo, molitva, zajednica.
17	1	Enciklika je:	Samo pismo	Okružnica pape o važnim pitanjima vjere i morala	Samo zakon	Samo molitva	1	Laudato si', Fratelli tutti, Lumen fidei...
18	2	Laudato si' govori o:	Samo liturgiji	Brizi za zajednički dom — okoliš i ekologija	Samo sakramentima	Samo molitvi	1	Papa Franjo (2015) — integralna ekologija.
19	2	Fratelli tutti govori o:	Samo vjeri	Bratstvu i socijalnom prijateljstvu	Samo liturgiji	Samo sakramentima	1	Papa Franjo (2020) — solidarnost i dijalog.
20	1	Kršćanski humanizam naglašava:	Samo znanje	Dostojanstvo svake osobe stvorene na sliku Božju	Samo moć	Samo bogatsvo	1	Vjera i razum u službi čovjeka.
21	1	Ljudska prava prema kršćanstvu:	Samo svjetovni koncept	Temelje se na dostojanstvu koje čovjek ima od Boga	Samo za neke	Samo za odrasle	1	Pravo na život, slobodu, vjeru, obrazovanje.
